year,energy_type,country_code,energy
1980,total,MSR,0.000213195
1980,coal,MSR,0
1980,natural_gas,MSR,0
1980,petroleum,MSR,0.000213195
1980,all_renewable,MSR,0
1980,renewables,MSR,0
1980,total,MAR,0.218181022
1980,coal,MAR,0.013797595
1980,natural_gas,MAR,0.0026175
1980,petroleum,MAR,0.185785739
1980,all_renewable,MAR,0.015980188
1980,renewables,MAR,0.015980188
1980,total,MOZ,0.166517583
1980,coal,MOZ,0
1980,natural_gas,MOZ,0
1980,petroleum,MOZ,0.027259011
1980,all_renewable,MOZ,0.139258572
1980,renewables,MOZ,0.139258572
1980,total,NAM,
1980,coal,NAM,
1980,natural_gas,NAM,
1980,petroleum,NAM,
1980,all_renewable,NAM,
1980,nuclear,NAM,
1980,renewables,NAM,
